id;delivery_id;invoice_number;contact_id;contact_name;contact_address_id;contact_cart_id;delivery_date;request_date;menu_item_id;menu_item_name;menu_item_code;line_number;detail;message;created_date
1;57133;green Hryvnia;39255;Clothing composite;79790;42013;2022-11-11;2022-11-11;4700;drive;Avon;45992;Tuna;Senior Israel Fresh;2022-11-11
2;11250;open cultivate;4657;Mouse;77599;70305;2022-11-11;2022-11-11;90304;Salad Global;program applications;14919;invoice Alabama;Orchestrator;2022-11-10
3;91790;Market Timor-Leste Saudi;16232;Wisconsin Dinar PCI;59490;79334;2022-11-11;2022-11-11;40470;collaborative Technician;navigating primary programming;31573;RSS;International Fish circuit;2022-11-10
4;41296;Fantastic Liberia Honduras;18905;Metal Industrial transmitting;23154;18203;2022-11-11;2022-11-11;72457;generation brand indexing;embrace Bedfordshire Intelligent;98162;user-centric compress optimal;Tools;2022-11-11
5;14007;withdrawal Bike;13778;Accountability New Forward;36901;60904;2022-11-11;2022-11-11;96209;Towels;Cambridgeshire Director;99070;port of;SQL Concrete;2022-11-11
6;93275;boliviano;38795;Oman;67205;23235;2022-11-11;2022-11-11;43350;Berkshire Cotton success;Ameliorated Multi-tiered;55681;rich Dollar;Account Shoes Escudo;2022-11-10
7;29706;web deposit;17517;Michigan navigating auxiliary;14183;37204;2022-11-11;2022-11-11;97772;Incredible multimedia copying;deposit;42639;Account Krone leverage;Technician quantify Account;2022-11-11
8;19591;Profit-focused;33356;COM Intranet Card;58916;25226;2022-11-10;2022-11-10;88286;1080p Baby Object-based;bricks-and-clicks markets;33704;Money Account application;Plastic Car;2022-11-11
9;71163;Specialist Mobility calculating;66929;transform Loan;54276;21349;2022-11-11;2022-11-11;97876;Pizza synthesize;sensor embrace;88065;Home navigate Keyboard;Metrics;2022-11-11
10;86604;Auto wireless optical;87488;synthesize;4547;13422;2022-11-11;2022-11-11;88033;white;Frozen Plastic Specialist;83317;mission-critical magenta;Account;2022-11-10
