id;status_changed_date;transaction_date;type;created_date
1;2022-11-10;2022-11-11;CANCELLED;2022-11-11
2;2022-11-11;2022-11-11;CANCELLED;2022-11-11
3;2022-11-10;2022-11-11;PREPARING;2022-11-11
4;2022-11-11;2022-11-11;CANCELLED;2022-11-11
5;2022-11-10;2022-11-11;ONTHEWAY;2022-11-11
6;2022-11-11;2022-11-11;CANCELLED;2022-11-11
7;2022-11-10;2022-11-11;ONTHEWAY;2022-11-11
8;2022-11-11;2022-11-10;PREPARING;2022-11-11
9;2022-11-10;2022-11-10;DELIVERED;2022-11-11
10;2022-11-10;2022-11-11;ONTHEWAY;2022-11-10
